year,race,age,pop,gender,.imp,deaths
2006,amind,0,34270,Male,1,0
2006,amind,0,34270,Male,2,0
2006,amind,0,34270,Male,3,0
2006,amind,0,34270,Male,4,0
2006,amind,0,34270,Male,5,0
2006,amind,0,34270,Male,6,0
2006,amind,0,34270,Male,7,0
2006,amind,0,34270,Male,8,0
2006,amind,0,34270,Male,9,0
2006,amind,0,34270,Male,10,0
2006,amind,1-4,129271,Male,1,0
2006,amind,1-4,129271,Male,2,0
2006,amind,1-4,129271,Male,3,0
2006,amind,1-4,129271,Male,4,0
2006,amind,1-4,129271,Male,5,0
2006,amind,1-4,129271,Male,6,0
2006,amind,1-4,129271,Male,7,0
2006,amind,1-4,129271,Male,8,0
2006,amind,1-4,129271,Male,9,0
2006,amind,1-4,129271,Male,10,0
2006,amind,5-9,158141,Male,1,0
2006,amind,5-9,158141,Male,2,0
2006,amind,5-9,158141,Male,3,0
2006,amind,5-9,158141,Male,4,0
2006,amind,5-9,158141,Male,5,0
2006,amind,5-9,158141,Male,6,0
2006,amind,5-9,158141,Male,7,0
2006,amind,5-9,158141,Male,8,0
2006,amind,5-9,158141,Male,9,0
2006,amind,5-9,158141,Male,10,0
2006,amind,10-14,174029,Male,1,0
2006,amind,10-14,174029,Male,2,0
2006,amind,10-14,174029,Male,3,0
2006,amind,10-14,174029,Male,4,0
2006,amind,10-14,174029,Male,5,0
2006,amind,10-14,174029,Male,6,0
2006,amind,10-14,174029,Male,7,0
2006,amind,10-14,174029,Male,8,0
2006,amind,10-14,174029,Male,9,0
2006,amind,10-14,174029,Male,10,0
2006,amind,15-19,187817,Male,1,2
2006,amind,15-19,187817,Male,2,2
2006,amind,15-19,187817,Male,3,2
2006,amind,15-19,187817,Male,4,2
2006,amind,15-19,187817,Male,5,4
2006,amind,15-19,187817,Male,6,2
2006,amind,15-19,187817,Male,7,3
2006,amind,15-19,187817,Male,8,2
2006,amind,15-19,187817,Male,9,4
2006,amind,15-19,187817,Male,10,2
2006,amind,20-24,171339,Male,1,4
2006,amind,20-24,171339,Male,2,3
2006,amind,20-24,171339,Male,3,3
2006,amind,20-24,171339,Male,4,4
2006,amind,20-24,171339,Male,5,6
2006,amind,20-24,171339,Male,6,2
2006,amind,20-24,171339,Male,7,3
2006,amind,20-24,171339,Male,8,3
2006,amind,20-24,171339,Male,9,5
2006,amind,20-24,171339,Male,10,2
2006,amind,25-29,146709,Male,1,1
2006,amind,25-29,146709,Male,2,1
2006,amind,25-29,146709,Male,3,1
2006,amind,25-29,146709,Male,4,2
2006,amind,25-29,146709,Male,5,2
2006,amind,25-29,146709,Male,6,5
2006,amind,25-29,146709,Male,7,2
2006,amind,25-29,146709,Male,8,2
2006,amind,25-29,146709,Male,9,3
2006,amind,25-29,146709,Male,10,1
2006,amind,30-34,132327,Male,1,0
2006,amind,30-34,132327,Male,2,0
2006,amind,30-34,132327,Male,3,0
