.imp,year,age,sex,race,officer_force,other,suicide,vehicle,pop
1,2013,0,Female,African American,0,0,0,0,329022
1,2013,1-4,Female,African American,0,0,0,1,1346442
1,2013,5-9,Female,African American,0,0,0,0,1622881
1,2013,10-14,Female,African American,0,0,0,0,1677773
1,2013,15-19,Female,African American,0,0,0,6,1802631
1,2013,20-24,Female,African American,1,0,0,8,1802145
1,2013,25-29,Female,African American,1,1,0,3,1588551
1,2013,30-34,Female,African American,2,0,2,3,1542747
1,2013,35-39,Female,African American,2,0,0,0,1444162
1,2013,40-44,Female,African American,4,0,0,1,1497285
1,2013,45-49,Female,African American,2,0,0,3,1552354
1,2013,50-54,Female,African American,0,0,0,2,1518358
1,2013,55-59,Female,African American,0,0,0,2,1290969
1,2013,60-64,Female,African American,3,0,0,0,1042868
1,2013,65-69,Female,African American,0,0,0,0,705643
1,2013,70-74,Female,African American,0,0,0,0,530967
1,2013,75-79,Female,African American,0,0,0,0,403850
1,2013,80-84,Female,African American,0,0,0,0,289518
1,2013,85+,Female,African American,0,0,0,0,296651
1,2013,0,Female,American Indian/AK Native,0,0,0,0,37294
1,2013,1-4,Female,American Indian/AK Native,0,0,0,0,154633
1,2013,5-9,Female,American Indian/AK Native,0,0,0,0,188094
1,2013,10-14,Female,American Indian/AK Native,0,0,0,0,184500
1,2013,15-19,Female,American Indian/AK Native,0,0,0,0,188304
1,2013,20-24,Female,American Indian/AK Native,0,0,0,1,179546
1,2013,25-29,Female,American Indian/AK Native,0,0,0,1,165423
1,2013,30-34,Female,American Indian/AK Native,0,0,0,0,155787
1,2013,35-39,Female,American Indian/AK Native,0,0,0,0,142696
1,2013,40-44,Female,American Indian/AK Native,0,0,0,0,140394
1,2013,45-49,Female,American Indian/AK Native,0,0,0,0,141760
1,2013,50-54,Female,American Indian/AK Native,0,0,0,0,134274
1,2013,55-59,Female,American Indian/AK Native,0,0,0,0,108445
1,2013,60-64,Female,American Indian/AK Native,0,0,0,0,83353
1,2013,65-69,Female,American Indian/AK Native,0,0,0,0,54866
1,2013,70-74,Female,American Indian/AK Native,0,0,0,0,38116
1,2013,75-79,Female,American Indian/AK Native,0,0,0,0,26233
1,2013,80-84,Female,American Indian/AK Native,0,0,0,0,17073
1,2013,85+,Female,American Indian/AK Native,0,0,0,0,15285
1,2013,0,Female,Asian/Pacific Islander,0,0,0,0,106843
