year,race,sex,age,pop
1992,American Indian/AK Native,Female,0,22465
1992,American Indian/AK Native,Female,1-4,84894
1992,American Indian/AK Native,Female,10-14,97299
1992,American Indian/AK Native,Female,15-19,91647
1992,American Indian/AK Native,Female,20-24,86044
1992,American Indian/AK Native,Female,25-29,92740
1992,American Indian/AK Native,Female,30-34,92130
1992,American Indian/AK Native,Female,35-39,81299
1992,American Indian/AK Native,Female,40-44,68097
1992,American Indian/AK Native,Female,45-49,51248
1992,American Indian/AK Native,Female,5-9,103573
1992,American Indian/AK Native,Female,50-54,40758
1992,American Indian/AK Native,Female,55-59,33026
1992,American Indian/AK Native,Female,60-64,27617
1992,American Indian/AK Native,Female,65-69,23149
1992,American Indian/AK Native,Female,70-74,16503
1992,American Indian/AK Native,Female,75-79,12407
1992,American Indian/AK Native,Female,80-84,7206
1992,American Indian/AK Native,Female,85+,5631
1992,American Indian/AK Native,Male,0,22924
1992,American Indian/AK Native,Male,1-4,88128
1992,American Indian/AK Native,Male,10-14,101011
1992,American Indian/AK Native,Male,15-19,97994
1992,American Indian/AK Native,Male,20-24,92974
1992,American Indian/AK Native,Male,25-29,93999
1992,American Indian/AK Native,Male,30-34,88321
1992,American Indian/AK Native,Male,35-39,76609
1992,American Indian/AK Native,Male,40-44,64706
1992,American Indian/AK Native,Male,45-49,48463
1992,American Indian/AK Native,Male,5-9,106740
1992,American Indian/AK Native,Male,50-54,37881
1992,American Indian/AK Native,Male,55-59,30103
1992,American Indian/AK Native,Male,60-64,24519
1992,American Indian/AK Native,Male,65-69,19116
1992,American Indian/AK Native,Male,70-74,12296
1992,American Indian/AK Native,Male,75-79,8099
1992,American Indian/AK Native,Male,80-84,4156
1992,American Indian/AK Native,Male,85+,2954
1992,Asian/Pacific Islander,Female,0,68661
1992,Asian/Pacific Islander,Female,1-4,250910
1992,Asian/Pacific Islander,Female,10-14,283806
1992,Asian/Pacific Islander,Female,15-19,303932
1992,Asian/Pacific Islander,Female,20-24,327877
1992,Asian/Pacific Islander,Female,25-29,370656
1992,Asian/Pacific Islander,Female,30-34,390906
1992,Asian/Pacific Islander,Female,35-39,362715
1992,Asian/Pacific Islander,Female,40-44,314094
1992,Asian/Pacific Islander,Female,45-49,214943
1992,Asian/Pacific Islander,Female,5-9,306438
1992,Asian/Pacific Islander,Female,50-54,163833
1992,Asian/Pacific Islander,Female,55-59,139975
1992,Asian/Pacific Islander,Female,60-64,127355
1992,Asian/Pacific Islander,Female,65-69,101877
1992,Asian/Pacific Islander,Female,70-74,69141
1992,Asian/Pacific Islander,Female,75-79,44390
1992,Asian/Pacific Islander,Female,80-84,22565
1992,Asian/Pacific Islander,Female,85+,17105
1992,Asian/Pacific Islander,Male,0,71908
1992,Asian/Pacific Islander,Male,1-4,262634
1992,Asian/Pacific Islander,Male,10-14,294956
1992,Asian/Pacific Islander,Male,15-19,325498
1992,Asian/Pacific Islander,Male,20-24,351974
1992,Asian/Pacific Islander,Male,25-29,366030
1992,Asian/Pacific Islander,Male,30-34,365484
1992,Asian/Pacific Islander,Male,35-39,326764
1992,Asian/Pacific Islander,Male,40-44,275199
1992,Asian/Pacific Islander,Male,45-49,198863
1992,Asian/Pacific Islander,Male,5-9,315785
1992,Asian/Pacific Islander,Male,50-54,154549
1992,Asian/Pacific Islander,Male,55-59,116152
1992,Asian/Pacific Islander,Male,60-64,96363
1992,Asian/Pacific Islander,Male,65-69,81571
1992,Asian/Pacific Islander,Male,70-74,55638
1992,Asian/Pacific Islander,Male,75-79,37408
1992,Asian/Pacific Islander,Male,80-84,20931
1992,Asian/Pacific Islander,Male,85+,12031
1992,African American,Female,0,313730
1992,African American,Female,1-4,1152740
1992,African American,Female,10-14,1314510
1992,African American,Female,15-19,1343029
1992,African American,Female,20-24,1355988
1992,African American,Female,25-29,1456147
1992,African American,Female,30-34,1455217
1992,African American,Female,35-39,1275606
1992,African American,Female,40-44,1030654
1992,African American,Female,45-49,772507
1992,African American,Female,5-9,1345207
1992,African American,Female,50-54,651506
1992,African American,Female,55-59,581753
1992,African American,Female,60-64,554445
1992,African American,Female,65-69,499238
1992,African American,Female,70-74,387485
1992,African American,Female,75-79,305694
1992,African American,Female,80-84,191389
1992,African American,Female,85+,158614
1992,African American,Male,0,320671
1992,African American,Male,1-4,1179597
1992,African American,Male,10-14,1341956
1992,African American,Male,15-19,1369464
1992,African American,Male,20-24,1300354
1992,African American,Male,25-29,1323717
1992,African American,Male,30-34,1277693
1992,African American,Male,35-39,1104870
1992,African American,Male,40-44,883161
1992,African American,Male,45-49,648805
1992,African American,Male,5-9,1377465
1992,African American,Male,50-54,534120
1992,African American,Male,55-59,461282
1992,African American,Male,60-64,419503
1992,African American,Male,65-69,361145
1992,African American,Male,70-74,254781
1992,African American,Male,75-79,179086
1992,African American,Male,80-84,98535
1992,African American,Male,85+,66681
1992,Latinx,Female,0,248463
1992,Latinx,Female,1-4,861881
1992,Latinx,Female,10-14,899391
1992,Latinx,Female,15-19,897908
1992,Latinx,Female,20-24,962742
1992,Latinx,Female,25-29,1003265
1992,Latinx,Female,30-34,904708
1992,Latinx,Female,35-39,743162
1992,Latinx,Female,40-44,593878
1992,Latinx,Female,45-49,441565
1992,Latinx,Female,5-9,979687
