year,age,race,sex,deaths
2000,0,African American,Female,3872
2000,0,African American,Male,4911
2000,0,American Indian/AK Native,Female,130
2000,0,American Indian/AK Native,Male,193
2000,0,Asian/Pacific Islander,Female,442
2000,0,Asian/Pacific Islander,Male,551
2000,0,Latinx,Female,2030
2000,0,Latinx,Male,2427
2000,0,White,Female,5866
2000,0,White,Male,7668
2000,1-4,African American,Female,561
2000,1-4,African American,Male,694
2000,1-4,American Indian/AK Native,Female,42
2000,1-4,American Indian/AK Native,Male,49
2000,1-4,Asian/Pacific Islander,Female,77
2000,1-4,Asian/Pacific Islander,Male,83
2000,1-4,Latinx,Female,391
2000,1-4,Latinx,Male,468
2000,1-4,White,Female,1109
2000,1-4,White,Male,1547
2000,10-14,African American,Female,344
2000,10-14,African American,Male,546
2000,10-14,American Indian/AK Native,Female,30
2000,10-14,American Indian/AK Native,Male,33
2000,10-14,Asian/Pacific Islander,Female,58
2000,10-14,Asian/Pacific Islander,Male,65
2000,10-14,Latinx,Female,217
2000,10-14,Latinx,Male,344
2000,10-14,White,Female,978
2000,10-14,White,Male,1575
2000,15-19,African American,Female,673
2000,15-19,African American,Male,2048
2000,15-19,American Indian/AK Native,Female,73
2000,15-19,American Indian/AK Native,Male,178
2000,15-19,Asian/Pacific Islander,Female,109
2000,15-19,Asian/Pacific Islander,Male,255
2000,15-19,Latinx,Female,429
2000,15-19,Latinx,Male,1542
2000,15-19,White,Female,2610
2000,15-19,White,Male,5745
2000,20-24,African American,Female,1061
2000,20-24,African American,Male,3286
2000,20-24,American Indian/AK Native,Female,77
2000,20-24,American Indian/AK Native,Male,192
2000,20-24,Asian/Pacific Islander,Female,128
2000,20-24,Asian/Pacific Islander,Male,312
2000,20-24,Latinx,Female,538
2000,20-24,Latinx,Male,2362
2000,20-24,White,Female,2604
2000,20-24,White,Male,7374
2000,25-29,African American,Female,1380
2000,25-29,African American,Male,3166
2000,25-29,American Indian/AK Native,Female,80
2000,25-29,American Indian/AK Native,Male,192
2000,25-29,Asian/Pacific Islander,Female,133
2000,25-29,Asian/Pacific Islander,Male,369
2000,25-29,Latinx,Female,590
2000,25-29,Latinx,Male,2073
2000,25-29,White,Female,2914
2000,25-29,White,Male,6954
2000,30-34,African American,Female,2115
2000,30-34,African American,Male,3594
2000,30-34,American Indian/AK Native,Female,106
2000,30-34,American Indian/AK Native,Male,218
2000,30-34,Asian/Pacific Islander,Female,217
2000,30-34,Asian/Pacific Islander,Male,323
2000,30-34,Latinx,Female,738
2000,30-34,Latinx,Male,2215
2000,30-34,White,Female,4363
2000,30-34,White,Male,9042
2000,35-39,African American,Female,3342
2000,35-39,African American,Male,5020
2000,35-39,American Indian/AK Native,Female,188
2000,35-39,American Indian/AK Native,Male,284
2000,35-39,Asian/Pacific Islander,Female,289
2000,35-39,Asian/Pacific Islander,Male,542
2000,35-39,Latinx,Female,1105
2000,35-39,Latinx,Male,2575
2000,35-39,White,Female,8013
2000,35-39,White,Male,14957
2000,40-44,African American,Female,4971
2000,40-44,African American,Male,7248
2000,40-44,American Indian/AK Native,Female,218
2000,40-44,American Indian/AK Native,Male,391
2000,40-44,Asian/Pacific Islander,Female,468
2000,40-44,Asian/Pacific Islander,Male,744
2000,40-44,Latinx,Female,1371
2000,40-44,Latinx,Male,3062
2000,40-44,White,Female,12635
2000,40-44,White,Male,22753
2000,45-49,African American,Female,6398
2000,45-49,African American,Male,9359
2000,45-49,American Indian/AK Native,Female,222
2000,45-49,American Indian/AK Native,Male,391
2000,45-49,Asian/Pacific Islander,Female,646
2000,45-49,Asian/Pacific Islander,Male,978
2000,45-49,Latinx,Female,1611
2000,45-49,Latinx,Male,3336
2000,45-49,White,Female,16892
2000,45-49,White,Male,31198
2000,5-9,African American,Female,327
2000,5-9,African American,Male,432
2000,5-9,American Indian/AK Native,Female,23
2000,5-9,American Indian/AK Native,Male,28
2000,5-9,Asian/Pacific Islander,Female,56
2000,5-9,Asian/Pacific Islander,Male,49
2000,5-9,Latinx,Female,234
2000,5-9,Latinx,Male,271
2000,5-9,White,Female,780
2000,5-9,White,Male,1084
2000,50-54,African American,Female,7002
2000,50-54,African American,Male,10572
2000,50-54,American Indian/AK Native,Female,277
2000,50-54,American Indian/AK Native,Male,470
2000,50-54,Asian/Pacific Islander,Female,780
2000,50-54,Asian/Pacific Islander,Male,1228
2000,50-54,Latinx,Female,1909
2000,50-54,Latinx,Male,3432
2000,50-54,White,Female,24334
2000,50-54,White,Male,39721
2000,55-59,African American,Female,7387
2000,55-59,African American,Male,10802
2000,55-59,American Indian/AK Native,Female,355
2000,55-59,American Indian/AK Native,Male,459
2000,55-59,Asian/Pacific Islander,Female,918
2000,55-59,Asian/Pacific Islander,Male,1361
2000,55-59,Latinx,Female,2206
2000,55-59,Latinx,Male,3641
2000,55-59,White,Female,31556
2000,55-59,White,Male,48347
2000,60-64,African American,Female,9246
2000,60-64,African American,Male,11903
2000,60-64,American Indian/AK Native,Female,380
2000,60-64,American Indian/AK Native,Male,507
2000,60-64,Asian/Pacific Islander,Female,1108
2000,60-64,Asian/Pacific Islander,Male,1730
2000,60-64,Latinx,Female,2750
2000,60-64,Latinx,Male,4075
2000,60-64,White,Female,41850
2000,60-64,White,Male,60896
2000,65-69,African American,Female,11583
2000,65-69,African American,Male,13514
2000,65-69,American Indian/AK Native,Female,495
2000,65-69,American Indian/AK Native,Male,558
2000,65-69,Asian/Pacific Islander,Female,1487
2000,65-69,Asian/Pacific Islander,Male,2024
2000,65-69,Latinx,Female,3694
2000,65-69,Latinx,Male,4827
2000,65-69,White,Female,60696
2000,65-69,White,Male,83277
2000,70-74,African American,Female,14573
2000,70-74,African American,Male,15574
2000,70-74,American Indian/AK Native,Female,536
2000,70-74,American Indian/AK Native,Male,562
2000,70-74,Asian/Pacific Islander,Female,1937
2000,70-74,Asian/Pacific Islander,Male,2555
2000,70-74,Latinx,Female,4856
2000,70-74,Latinx,Male,5974
2000,70-74,White,Female,94255
2000,70-74,White,Male,119051
2000,75-79,African American,Female,16863
2000,75-79,African American,Male,15689
2000,75-79,American Indian/AK Native,Female,563
2000,75-79,American Indian/AK Native,Male,568
2000,75-79,Asian/Pacific Islander,Female,2488
2000,75-79,Asian/Pacific Islander,Male,3062
2000,75-79,Latinx,Female,5485
2000,75-79,Latinx,Male,6014
2000,75-79,White,Female,139113
2000,75-79,White,Male,148195
2000,80-84,African American,Female,16567
2000,80-84,African American,Male,12351
2000,80-84,American Indian/AK Native,Female,510
2000,80-84,American Indian/AK Native,Male,422
2000,80-84,Asian/Pacific Islander,Female,2638
2000,80-84,Asian/Pacific Islander,Male,2537
2000,80-84,Latinx,Female,5417
2000,80-84,Latinx,Male,4868
2000,80-84,White,Female,170836
2000,80-84,White,Male,146851
2000,85+,African American,Female,32482
2000,85+,African American,Male,14564
2000,85+,American Indian/AK Native,Female,881
2000,85+,American Indian/AK Native,Male,501
2000,85+,Asian/Pacific Islander,Female,4668
2000,85+,Asian/Pacific Islander,Male,3730
2000,85+,Latinx,Female,11223
2000,85+,Latinx,Male,6453
2000,85+,White,Female,394295
2000,85+,White,Male,189596
2000,Missing,African American,Female,22
2000,Missing,African American,Male,50
