race,gender,cmin,cmax,c
African American,Female,2.1136733099669236e-5,2.2390486190015935e-5,2.182013591143228e-5
African American,Male,2.627816474327638e-4,2.681543377806017e-4,2.65673526861665e-4
American Indian/AK Native,Female,1.3523395585468556e-5,1.714886807413496e-5,1.595908224633069e-5
American Indian/AK Native,Male,8.626637411890403e-5,9.258844913473396e-5,8.975118877883049e-5
Asian/Pacific Islander,Female,3.448055395427474e-6,5.0315631576758335e-6,4.136637967921964e-6
Asian/Pacific Islander,Male,3.355019152684324e-5,3.9717958424390076e-5,3.5995684842604626e-5
Latinx,Female,9.382442628713683e-6,1.1142379108819433e-5,1.0088399613428223e-5
Latinx,Male,1.2454722762278436e-4,1.2964364882350754e-4,1.2702804478950113e-4
White,Female,1.0250580482873417e-5,1.0419228553049109e-5,1.0336354863405006e-5
White,Male,8.336942470710262e-5,8.456686364277655e-5,8.396689839393901e-5
