"","race","sex","age","qmin","qmax","q","cmin","cmax","c"
"1","African American","Female",0,0,0,0,0,0,0
"2","African American","Female",4,1.06834565020131e-07,1.06834565020131e-07,1.06834565020131e-07,0,0,0
"3","African American","Female",9,8.58310932490884e-08,8.58310932490884e-08,8.58310932490884e-08,1.06834564972402e-07,1.06834564972402e-07,1.06834564972402e-07
"4","African American","Female",14,0,0,0,1.92665648990342e-07,1.92665648990342e-07,1.92665648990342e-07
"5","African American","Female",19,2.44350305321815e-07,2.44350305321815e-07,2.44350305321815e-07,1.92665648990342e-07,1.92665648990342e-07,1.92665648990342e-07
"6","African American","Female",24,1.08012423280319e-06,1.08012423280319e-06,1.08012423280319e-06,4.37015907239768e-07,4.37015907239768e-07,4.37015907239768e-07
"7","African American","Female",29,1.19499838547182e-06,1.53642623331708e-06,1.32303383679248e-06,1.51713966811684e-06,1.51713966811684e-06,1.51713966811684e-06
"8","African American","Female",34,9.9500934969581e-07,1.26637536415076e-06,1.09451022657193e-06,2.71213624059019e-06,3.05356357044317e-06,2.84017149766447e-06
"9","African American","Female",39,1.15532630458484e-06,1.25160343638314e-06,1.20346487048399e-06,3.79249965010153e-06,4.31993506766482e-06,3.93467861216079e-06
"10","African American","Female",44,6.71208028223339e-07,8.62981667824261e-07,7.67094848943228e-07,4.94782157334228e-06,5.57153309710401e-06,5.13813874732927e-06
"11","African American","Female",49,4.71111690264416e-07,6.59556304225245e-07,5.182228450863e-07,5.61902628049005e-06,6.43450995674311e-06,5.90522964644125e-06
"12","African American","Female",54,2.80583836977424e-07,4.67639684558327e-07,3.3670059300119e-07,6.18059020895956e-06,6.90561861560468e-06,6.42344943175832e-06
"13","African American","Female",59,4.15835169592136e-07,7.27711433308236e-07,5.40585682643774e-07,6.4611723117336e-06,7.37325507083053e-06,6.76014785312429e-06
"14","African American","Female",64,5.12952499444408e-07,6.41190583192971e-07,5.38600116194121e-07,6.98096288820338e-06,7.78908717435911e-06,7.30072989126862e-06
"15","African American","Female",69,1.75261106186761e-07,1.75261106186761e-07,1.75261106186761e-07,7.49391180676628e-06,8.30203567847576e-06,7.83932607485438e-06
"16","African American","Female",74,0,0,0,7.66917159955582e-06,8.47729532960084e-06,8.01458580708125e-06
"17","African American","Female",79,0,0,0,7.66917159955582e-06,8.47729532960084e-06,8.01458580708125e-06
"18","African American","Female",84,0,0,0,7.66917159955582e-06,8.47729532960084e-06,8.01458580708125e-06
"19","African American","Female",85,4.50454204235486e-07,4.50454204235486e-07,4.50454204235486e-07,8.11962234914532e-06,8.92774571514821e-06,8.46503640115071e-06
"20","African American","Male",0,0,0,0,0,0,0
"21","African American","Male",4,2.06421057259756e-07,3.09631569911016e-07,2.16742108524882e-07,0,0,0
"22","African American","Male",9,0,1.66157739357493e-07,8.3078872439586e-08,2.06421057247219e-07,3.09631569939128e-07,2.1674210851641e-07
"23","African American","Male",14,4.98482536079751e-07,5.81562934601462e-07,5.40022735340606e-07,2.06421057247219e-07,3.92710417407294e-07,2.99820962901265e-07
"24","African American","Male",19,1.77729376668474e-05,1.86379840936209e-05,1.80953641222698e-05,7.87982304850665e-07,8.91192757590531e-07,8.39843537381313e-07
"25","African American","Male",24,3.42755556638832e-05,3.53418874411156e-05,3.47782550184747e-05,1.86439848649522e-05,1.94259532789731e-05,1.89351924680836e-05
"26","African American","Male",29,3.51786682255715e-05,3.59801930818282e-05,3.56150540266475e-05,5.30717390002655e-05,5.42997644248366e-05,5.37127889636224e-05
"27","African American","Male",34,3.33617698004325e-05,3.51384008829609e-05,3.41908645569611e-05,8.83241955688119e-05,9.02780037906892e-05,8.93259299499904e-05
"28","African American","Male",39,2.87407622534544e-05,3.0893595084969e-05,2.91282723183915e-05,0.000121880404891805,0.000124702856731163,0.000123513740293046
"29","African American","Male",44,1.75748866729796e-05,1.90843717379e-05,1.84482317830093e-05,0.00015061766420954,0.000154330544131498,0.000152638414830242
"30","African American","Male",49,1.32394420348366e-05,1.42985898254095e-05,1.38537478397476e-05,0.000169267945247964,0.00017298075591321,0.000171083830893493
"31","African American","Male",54,1.05092333965391e-05,1.15707659820542e-05,1.10930764104113e-05,0.000182894356708818,0.000186535597270665,0.000184935208600689
"32","African American","Male",59,5.10037476825172e-06,6.55761992399233e-06,5.71970414009238e-06,0.000193826203535918,0.00019746209507443,0.00019602623361662
"33","African American","Male",64,4.87611559822978e-06,5.34799649108513e-06,5.12778542507158e-06,0.000199775484886144,0.000203532767884651,0.000201744816562321
"34","African American","Male",69,3.3967795133434e-06,4.30258543491043e-06,3.82703739531624e-06,0.000204650626356107,0.000208565152674867,0.00020687156745931
"35","African American","Male",74,2.06300840263322e-06,2.75067692439936e-06,2.33807583498411e-06,0.00020849952109292,0.000212135615663689,0.000210697813198812
"36","African American","Male",79,1.03580573256325e-06,2.07161039223353e-06,1.29475693771427e-06,0.000210562099359324,0.00021471131762596,0.000213035396325034
"37","African American","Male",84,0,8.57890815378036e-07,8.57890815378036e-08,0.000211597686990417,0.000216782483219879,0.00021432987730019
"38","African American","Male",85,2.19529811050692e-06,3.29294535851119e-06,2.5245922849082e-06,0.000214889935569174,0.000218977305428081,0.000216939699238117
"39","American Indian/AK Native","Female",0,0,0,0,0,0,0
"40","American Indian/AK Native","Female",4,0,0,0,0,0,0
"41","American Indian/AK Native","Female",9,0,0,0,0,0,0
"42","American Indian/AK Native","Female",14,0,0,0,0,0,0
"43","American Indian/AK Native","Female",19,0,0,0,0,0,0
"44","American Indian/AK Native","Female",24,7.67704513603532e-07,7.67704513603532e-07,7.67704513603532e-07,0,0,0
"45","American Indian/AK Native","Female",29,8.40030829131429e-07,1.68006095261136e-06,1.1760428785234e-06,7.6770451351571e-07,7.6770451351571e-07,7.6770451351571e-07
"46","American Indian/AK Native","Female",34,1.78289667222336e-06,2.67434381631537e-06,1.96118610104176e-06,1.60773469770614e-06,2.44776417646086e-06,1.94374648920803e-06
"47","American Indian/AK Native","Female",39,3.88058282473445e-06,3.88058282473445e-06,3.88058282473445e-06,3.39062850374106e-06,5.12210144665293e-06,3.90492876333193e-06
"48","American Indian/AK Native","Female",44,0,0,0,7.27119817078847e-06,9.00266439451958e-06,7.78549643462023e-06
"49","American Indian/AK Native","Female",49,1.0256699547936e-06,1.0256699547936e-06,1.0256699547936e-06,7.27119817078847e-06,9.00266439451958e-06,7.78549643462023e-06
"50","American Indian/AK Native","Female",54,1.04133203027985e-06,2.08266297618787e-06,1.14546512487065e-06,8.29686066761148e-06,1.00283251155409e-05,8.81115840397628e-06
"51","American Indian/AK Native","Female",59,0,0,0,9.33818405812747e-06,1.12195284742711e-05,9.95661340208454e-06
"52","American Indian/AK Native","Female",64,0,0,0,9.33818405812747e-06,1.12195284742711e-05,9.95661340208454e-06
"53","American Indian/AK Native","Female",69,0,0,0,9.33818405812747e-06,1.12195284742711e-05,9.95661340208454e-06
"54","American Indian/AK Native","Female",74,0,0,0,9.33818405812747e-06,1.12195284742711e-05,9.95661340208454e-06
"55","American Indian/AK Native","Female",79,0,0,0,9.33818405812747e-06,1.12195284742711e-05,9.95661340208454e-06
"56","American Indian/AK Native","Female",84,0,0,0,9.33818405812747e-06,1.12195284742711e-05,9.95661340208454e-06
"57","American Indian/AK Native","Female",85,0,0,0,9.33818405812747e-06,1.12195284742711e-05,9.95661340208454e-06
"58","American Indian/AK Native","Male",0,0,0,0,0,0,0
"59","American Indian/AK Native","Male",4,0,0,0,0,0,0
"60","American Indian/AK Native","Male",9,0,0,0,0,0,0
"61","American Indian/AK Native","Male",14,0,0,0,0,0,0
"62","American Indian/AK Native","Male",19,4.43794532007571e-06,5.91725605002448e-06,5.17760084917754e-06,0,0,0
"63","American Indian/AK Native","Male",24,1.07113974624699e-05,1.35677507418525e-05,1.1782530579645e-05,4.43794532012376e-06,5.91725605003646e-06,5.17760084928209e-06
"64","American Indian/AK Native","Male",29,1.23786888492771e-05,1.62469976902185e-05,1.37712811094186e-05,1.58633811616626e-05,1.87452814521816e-05,1.69600705293149e-05
"65","American Indian/AK Native","Male",34,1.50794435350237e-05,1.75926620168982e-05,1.60847313488614e-05,2.90155243354295e-05,3.35638295658747e-05,3.07311182405345e-05
"66","American Indian/AK Native","Male",39,7.43231944108958e-06,1.11484584469083e-05,8.82587238822574e-06,4.40945303324947e-05,4.86517755086124e-05,4.68153554761153e-05
"67","American Indian/AK Native","Male",44,4.91693091072869e-06,7.86707785260243e-06,5.99865203630876e-06,5.24555171297347e-05,5.88707033055691e-05,5.56408146752507e-05
"68","American Indian/AK Native","Male",49,5.11332927334989e-06,8.18131428723367e-06,6.34052390640763e-06,5.83555218173215e-05,6.57539945633223e-05,6.16391328670307e-05
"69","American Indian/AK Native","Male",54,4.332028309805e-06,7.5810372266833e-06,5.63163269758567e-06,6.51394827061447e-05,7.39347708963445e-05,6.79792658608291e-05
"70","American Indian/AK Native","Male",59,1.29783747830178e-06,3.89350738176554e-06,2.46588935595491e-06,7.05541624287376e-05,7.9349402992035e-05,7.36105160472067e-05
"71","American Indian/AK Native","Male",64,1.71416180487525e-06,5.14247659958877e-06,2.39982505765201e-06,7.31496525653297e-05,8.06471374877882e-05,7.60762246156954e-05
"72","American Indian/AK Native","Male",69,0,2.44502663245259e-06,2.44502663245259e-07,7.48636889800203e-05,8.37269632426585e-05,7.84758663541107e-05
"73","American Indian/AK Native","Male",74,0,3.86764157018512e-06,3.86764157018512e-07,7.48636889800203e-05,8.37269632426585e-05,7.87203505513645e-05
"74","American Indian/AK Native","Male",79,0,6.29629746227731e-06,6.29629746227731e-07,7.60511235009531e-05,8.37269632426585e-05,7.91070857537823e-05
"75","American Indian/AK Native","Male",84,0,0,0,7.60511235009531e-05,8.64060238277009e-05,7.9736665060226e-05
"76","American Indian/AK Native","Male",85,0,0,0,7.60511235009531e-05,8.64060238277009e-05,7.9736665060226e-05
"77","Asian/Pacific Islander","Female",0,0,0,0,0,0,0
"78","Asian/Pacific Islander","Female",4,0,0,0,0,0,0
"79","Asian/Pacific Islander","Female",9,0,0,0,0,0,0
"80","Asian/Pacific Islander","Female",14,0,0,0,0,0,0
"81","Asian/Pacific Islander","Female",19,0,0,0,0,0,0
"82","Asian/Pacific Islander","Female",24,0,2.0176758492776e-07,4.03535169855519e-08,0,0,0
"83","Asian/Pacific Islander","Female",29,0,1.75611018783618e-07,3.51222037567236e-08,0,2.01767584973034e-07,4.03535169946068e-08
"84","Asian/Pacific Islander","Female",34,0,0,0,0,2.01767584973034e-07,7.54757207621637e-08
"85","Asian/Pacific Islander","Female",39,1.76410541200197e-07,1.76410541200197e-07,1.76410541200197e-07,0,2.01767584973034e-07,7.54757207621637e-08
"86","Asian/Pacific Islander","Female",44,1.83601064996338e-07,1.83601064996338e-07,1.83601064996338e-07,1.76410541175009e-07,3.78178090509884e-07,2.51886248636701e-07
"87","Asian/Pacific Islander","Female",49,2.06374261167247e-07,4.12748479744162e-07,2.27011683024938e-07,3.60011573774521e-07,5.61779086138969e-07,4.3548726738063e-07
"88","Asian/Pacific Islander","Female",54,2.24488382557836e-07,2.24488382557836e-07,2.24488382557836e-07,5.66385760625288e-07,7.72759904954512e-07,6.62498853076787e-07
"89","Asian/Pacific Islander","Female",59,0,2.48981633994259e-07,2.48981633994259e-08,7.90874016054488e-07,9.9724811397639e-07,8.86987086945457e-07
"90","Asian/Pacific Islander","Female",64,0,0,0,7.90874016054488e-07,1.03985545307772e-06,9.1188523064778e-07
"91","Asian/Pacific Islander","Female",69,0,0,0,7.90874016054488e-07,1.03985545307772e-06,9.1188523064778e-07
