race,sex,cmin,cmax,c
African American,Female,0.8119622349145317,0.8927745715148205,0.8465036401150705
African American,Male,21.488993556917357,21.89773054280808,21.693969923811675
American Indian/AK Native,Female,0.9338184058127474,1.12195284742711,0.9956613402084535
American Indian/AK Native,Male,7.605112350095311,8.64060238277009,7.973666506022603
Asian/Pacific Islander,Female,0.0790874016054488,0.10398554530777204,0.09118852306477798
Asian/Pacific Islander,Male,3.1390021415611535,3.5011778279470107,3.235907514886893
Latinx,Female,0.2542810516148464,0.31287939141755317,0.28036519392315995
Latinx,Male,10.420053942084007,10.85131127848138,10.655603528036961
White,Female,0.5079218719949985,0.5336603892014402,0.520391080938154
White,Male,7.646344339296007,7.724643130024855,7.668019565300055
