year,age,race,sex,deaths
2008,0,African American,Female,3807
2008,0,African American,Male,4761
2008,0,American Indian/AK Native,Female,169
2008,0,American Indian/AK Native,Male,234
2008,0,Asian/Pacific Islander,Female,448
2008,0,Asian/Pacific Islander,Male,570
2008,0,Latinx,Female,2494
2008,0,Latinx,Male,3115
2008,0,White,Female,5516
2008,0,White,Male,7038
2008,1-4,African American,Female,472
2008,1-4,African American,Male,651
2008,1-4,American Indian/AK Native,Female,50
2008,1-4,American Indian/AK Native,Male,50
2008,1-4,Asian/Pacific Islander,Female,90
2008,1-4,Asian/Pacific Islander,Male,81
2008,1-4,Latinx,Female,422
2008,1-4,Latinx,Male,555
2008,1-4,White,Female,1009
2008,1-4,White,Male,1371
2008,10-14,African American,Female,291
2008,10-14,African American,Male,423
2008,10-14,American Indian/AK Native,Female,26
2008,10-14,American Indian/AK Native,Male,31
2008,10-14,Asian/Pacific Islander,Female,35
2008,10-14,Asian/Pacific Islander,Male,78
2008,10-14,Latinx,Female,246
2008,10-14,Latinx,Male,294
2008,10-14,White,Female,683
2008,10-14,White,Male,1073
2008,15-19,African American,Female,682
2008,15-19,African American,Male,2179
2008,15-19,American Indian/AK Native,Female,90
2008,15-19,American Indian/AK Native,Male,174
2008,15-19,Asian/Pacific Islander,Female,84
2008,15-19,Asian/Pacific Islander,Male,193
2008,15-19,Latinx,Female,500
2008,15-19,Latinx,Male,1510
2008,15-19,White,Female,2112
2008,15-19,White,Male,4958
2008,20-24,African American,Female,1024
2008,20-24,African American,Male,3347
2008,20-24,American Indian/AK Native,Female,83
2008,20-24,American Indian/AK Native,Male,289
2008,20-24,Asian/Pacific Islander,Female,150
2008,20-24,Asian/Pacific Islander,Male,327
2008,20-24,Latinx,Female,605
2008,20-24,Latinx,Male,2568
2008,20-24,White,Female,2889
2008,20-24,White,Male,8663
2008,25-29,African American,Female,1294
2008,25-29,African American,Male,3277
2008,25-29,American Indian/AK Native,Female,121
2008,25-29,American Indian/AK Native,Male,261
2008,25-29,Asian/Pacific Islander,Female,219
2008,25-29,Asian/Pacific Islander,Male,344
2008,25-29,Latinx,Female,736
2008,25-29,Latinx,Male,2493
2008,25-29,White,Female,3446
2008,25-29,White,Male,8740
2008,30-34,African American,Female,1611
2008,30-34,African American,Male,3106
2008,30-34,American Indian/AK Native,Female,123
2008,30-34,American Indian/AK Native,Male,269
2008,30-34,Asian/Pacific Islander,Female,235
2008,30-34,Asian/Pacific Islander,Male,372
2008,30-34,Latinx,Female,815
2008,30-34,Latinx,Male,2350
2008,30-34,White,Female,4097
2008,30-34,White,Male,8646
2008,35-39,African American,Female,2488
2008,35-39,African American,Male,3779
2008,35-39,American Indian/AK Native,Female,210
2008,35-39,American Indian/AK Native,Male,314
2008,35-39,Asian/Pacific Islander,Female,297
2008,35-39,Asian/Pacific Islander,Male,516
2008,35-39,Latinx,Female,1098
2008,35-39,Latinx,Male,2581
2008,35-39,White,Female,6718
2008,35-39,White,Male,12031
2008,40-44,African American,Female,4121
2008,40-44,African American,Male,5434
2008,40-44,American Indian/AK Native,Female,279
2008,40-44,American Indian/AK Native,Male,413
2008,40-44,Asian/Pacific Islander,Female,404
2008,40-44,Asian/Pacific Islander,Male,677
2008,40-44,Latinx,Female,1576
2008,40-44,Latinx,Male,3337
2008,40-44,White,Female,11607
2008,40-44,White,Male,18875
2008,45-49,African American,Female,6561
2008,45-49,African American,Male,8421
2008,45-49,American Indian/AK Native,Female,346
2008,45-49,American Indian/AK Native,Male,620
2008,45-49,Asian/Pacific Islander,Female,629
2008,45-49,Asian/Pacific Islander,Male,1061
2008,45-49,Latinx,Female,2161
2008,45-49,Latinx,Male,4312
2008,45-49,White,Female,20438
2008,45-49,White,Male,33146
2008,5-9,African American,Female,230
2008,5-9,African American,Male,349
2008,5-9,American Indian/AK Native,Female,19
2008,5-9,American Indian/AK Native,Male,21
2008,5-9,Asian/Pacific Islander,Female,52
2008,5-9,Asian/Pacific Islander,Male,53
2008,5-9,Latinx,Female,224
2008,5-9,Latinx,Male,246
2008,5-9,White,Female,591
2008,5-9,White,Male,739
2008,50-54,African American,Female,8744
2008,50-54,African American,Male,12334
2008,50-54,American Indian/AK Native,Female,425
2008,50-54,American Indian/AK Native,Male,701
2008,50-54,Asian/Pacific Islander,Female,971
2008,50-54,Asian/Pacific Islander,Male,1447
2008,50-54,Latinx,Female,2663
2008,50-54,Latinx,Male,5071
2008,50-54,White,Female,28727
2008,50-54,White,Male,48424
2008,55-59,African American,Female,9814
2008,55-59,African American,Male,14778
2008,55-59,American Indian/AK Native,Female,470
2008,55-59,American Indian/AK Native,Male,720
2008,55-59,Asian/Pacific Islander,Female,1278
2008,55-59,Asian/Pacific Islander,Male,1848
2008,55-59,Latinx,Female,3248
2008,55-59,Latinx,Male,5682
2008,55-59,White,Female,36593
2008,55-59,White,Male,60728
2008,60-64,African American,Female,10276
2008,60-64,African American,Male,13979
2008,60-64,American Indian/AK Native,Female,533
2008,60-64,American Indian/AK Native,Male,726
2008,60-64,Asian/Pacific Islander,Female,1479
2008,60-64,Asian/Pacific Islander,Male,2169
2008,60-64,Latinx,Female,3720
2008,60-64,Latinx,Male,5668
2008,60-64,White,Female,49491
2008,60-64,White,Male,73910
2008,65-69,African American,Female,11157
2008,65-69,African American,Male,14120
2008,65-69,American Indian/AK Native,Female,557
2008,65-69,American Indian/AK Native,Male,736
2008,65-69,Asian/Pacific Islander,Female,1681
2008,65-69,Asian/Pacific Islander,Male,2352
2008,65-69,Latinx,Female,4195
2008,65-69,Latinx,Male,5846
2008,65-69,White,Female,60604
2008,65-69,White,Male,82666
2008,70-74,African American,Female,12671
2008,70-74,African American,Male,13905
2008,70-74,American Indian/AK Native,Female,649
